Date,Close,High,Low,Open,Volume,Sector
2025-01-13,286.1636962890625,293.4195111310995,284.5948641797882,293.1253682019159,9541248,Information Technology
2025-01-14,287.1441955566406,288.8110552612858,280.96692510394803,286.1146355197009,7670070,Information Technology
2025-01-15,286.9480895996094,288.9581659711254,284.05558446447577,287.29127628967143,4662694,Information Technology
2025-01-16,282.4377136230469,290.72308848498255,281.1140405312321,290.13477270918526,10345666,Information Technology
2025-01-17,276.4565734863281,282.1925697106497,275.0348129297978,282.1925697106497,9358955,Information Technology
2025-01-20,294.4000244140625,299.4496774660434,291.16433253457507,296.1159279701811,39380165,Information Technology
2025-01-21,292.53704833984375,299.8909206966876,291.99774641321864,296.50812744334615,15619474,Information Technology
2025-01-22,303.0776062011719,303.960064921185,293.5175719012314,293.5175719012314,30859317,Information Technology
2025-01-23,311.5100402832031,318.27559676435,304.59738241876266,305.03862672267815,39904371,Information Technology
2025-01-24,313.86328125,316.2165144426509,310.43147411651387,312.7847073091648,17479586,Information Technology
2025-01-27,301.95001220703125,312.93177701883235,300.7733806558103,311.60807400445464,12372895,Information Technology
2025-01-28,303.6000061035156,307.6000061035156,301.54998779296875,304.0,12077491,Information Technology
2025-01-29,312.45001220703125,314.70001220703125,305.04998779296875,305.04998779296875,16338112,Information Technology
2025-01-30,309.0,313.70001220703125,305.95001220703125,311.0,9984186,Information Technology
2025-01-31,311.8999938964844,315.70001220703125,309.54998779296875,311.70001220703125,15597644,Information Technology
2025-02-01,304.79998779296875,313.25,303.3500061035156,312.54998779296875,6046117,Information Technology
2025-02-03,313.6000061035156,314.0,300.29998779296875,303.0,14877076,Information Technology
2025-02-04,316.25,318.8500061035156,313.3500061035156,318.0,15366864,Information Technology
2025-02-05,317.1000061035156,321.45001220703125,314.8999938964844,317.79998779296875,9628027,Information Technology
2025-02-06,317.95001220703125,323.6000061035156,314.54998779296875,320.0,15062390,Information Technology
2025-02-07,318.0,319.0,314.0,319.0,8589587,Information Technology
2025-02-10,319.04998779296875,321.0,315.8500061035156,318.79998779296875,12304840,Information Technology
2025-02-11,313.0,320.3999938964844,311.6000061035156,319.5,10627890,Information Technology
2025-02-12,310.20001220703125,315.75,309.3500061035156,313.45001220703125,9668342,Information Technology
2025-02-13,308.54998779296875,313.6499938964844,306.95001220703125,310.29998779296875,8832731,Information Technology
2025-02-14,308.1000061035156,312.3999938964844,304.54998779296875,310.04998779296875,7371341,Information Technology
2025-02-17,305.3500061035156,310.29998779296875,302.0,308.1000061035156,7507772,Information Technology
2025-02-18,312.20001220703125,312.75,305.3500061035156,305.3500061035156,10368789,Information Technology
2025-02-19,314.1000061035156,316.5,308.29998779296875,311.25,7835672,Information Technology
2025-02-20,313.29998779296875,314.29998779296875,310.25,311.20001220703125,7697134,Information Technology
2025-02-21,306.3500061035156,312.79998779296875,305.04998779296875,312.79998779296875,8722925,Information Technology
2025-02-24,295.04998779296875,303.29998779296875,293.3500061035156,302.95001220703125,12600963,Information Technology
2025-02-25,291.29998779296875,296.29998779296875,290.1000061035156,294.3500061035156,10810040,Information Technology
2025-02-27,294.5,295.79998779296875,291.3500061035156,294.0,15555649,Information Technology
2025-02-28,277.6499938964844,294.0,277.0,294.0,17458839,Information Technology
2025-03-03,283.54998779296875,286.3500061035156,279.29998779296875,279.45001220703125,11471554,Information Technology
2025-03-04,280.0,283.1000061035156,276.29998779296875,279.0,9331785,Information Technology
2025-03-05,285.1000061035156,286.95001220703125,278.6499938964844,281.3999938964844,10285712,Information Technology
2025-03-06,285.8999938964844,292.0,283.5,288.45001220703125,9782051,Information Technology
2025-03-07,284.79998779296875,287.70001220703125,282.8999938964844,287.3999938964844,8097300,Information Technology
2025-03-10,280.8999938964844,285.6499938964844,277.95001220703125,284.45001220703125,8165123,Information Technology
2025-03-11,277.75,279.29998779296875,273.20001220703125,277.0,8602609,Information Technology
2025-03-12,268.54998779296875,277.70001220703125,262.20001220703125,277.70001220703125,18584311,Information Technology
2025-03-13,264.0,271.1000061035156,263.3500061035156,268.54998779296875,8683943,Information Technology
2025-03-17,259.8500061035156,265.20001220703125,258.8999938964844,264.0,12697926,Information Technology
2025-03-18,259.8500061035156,259.8500061035156,259.8500061035156,259.8500061035156,0,Information Technology
2025-03-19,265.70001220703125,266.5,256.25,262.0,14044300,Information Technology
2025-03-20,268.0,273.95001220703125,267.5,269.20001220703125,17038774,Information Technology
2025-03-21,264.29998779296875,269.54998779296875,260.20001220703125,264.0,22659168,Information Technology
2025-03-24,269.3999938964844,271.6499938964844,265.3999938964844,267.04998779296875,9269617,Information Technology
2025-03-25,271.0,274.70001220703125,269.3500061035156,272.0,12563930,Information Technology
2025-03-26,267.3999938964844,272.25,266.75,272.0,7308412,Information Technology
2025-03-27,272.20001220703125,273.54998779296875,269.6000061035156,270.0,14783522,Information Technology
2025-03-28,262.25,271.8500061035156,261.6000061035156,271.0,14283389,Information Technology
2025-04-01,262.6000061035156,263.0,258.5,260.3500061035156,8388635,Information Technology
2025-04-02,263.6000061035156,265.54998779296875,261.1000061035156,262.79998779296875,7136992,Information Technology
2025-04-03,256.3500061035156,260.5,255.3000030517578,259.8999938964844,12262561,Information Technology
2025-04-04,246.3000030517578,253.9499969482422,244.85000610351562,253.0,14639785,Information Technology
2025-04-07,242.89999389648438,243.85000610351562,228.0,231.0500030517578,13011904,Information Technology
2025-04-08,247.25,249.5,243.85000610351562,244.75,13806651,Information Technology
2025-04-09,236.64999389648438,242.3000030517578,234.0,240.6999969482422,19063559,Information Technology
