Date,Close,High,Low,Open,Volume,Sector,return_ratio,pct_change_open,pct_change_high,pct_change_low,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30,up_or_down
2022-01-10,391.5251159667969,398.5301189740721,386.7564255137201,393.3339057070916,378478,Consumer Durables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-11,395.0769653320313,397.2475493094552,389.4532288422088,393.92591449456506,481882,Consumer Durables,0.009071830185054086,0.0015051048965870617,-0.0032182502740785157,0.0069728727193261175,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-12,403.3974914550781,413.3623955123882,397.3133228230304,399.1879015801018,476886,Consumer Durables,0.021060519476386208,0.013357808897361378,0.04056625706299721,0.020182382372816887,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-13,405.6667175292969,410.4354081897504,399.253664276332,403.6934703745384,216796,Consumer Durables,0.005625285536688729,0.011286837042410847,-0.007080923069960554,0.004883655648682872,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-14,401.4900207519531,410.43542221013314,397.3133402264871,405.6667313867822,196375,Consumer Durables,-0.010295882301564752,0.004888018154995288,3.4159778783404704e-08,-0.004859877875790675,399.43126220703124,0.0,0.0,0.0,0.0,0.0,0
2022-01-17,398.8261413574219,407.1795623399191,398.2999501454302,401.8846804685072,80485,Consumer Durables,-0.006634982831060343,-0.009323049256087512,-0.007932697067620897,0.002483203605448292,400.89146728515624,0.0,0.0,0.0,0.0,0.0,0
2022-01-18,396.0964965820313,400.4376344068025,393.564148620453,398.82615119829376,112446,Consumer Durables,-0.006844197238676797,-0.007610464938966777,-0.01655762851743603,-0.01189003795568655,401.0953735351562,0.0,0.0,0.0,0.0,0.0,0
2022-01-19,391.6895751953125,395.8004968884479,388.4337293092227,393.070842234582,73372,Consumer Durables,-0.011125878226004748,-0.014430620826692553,-0.011580174089340756,-0.013035789284196242,398.7537902832031,0.0,0.0,0.0,0.0,0.0,0
2022-01-20,389.486083984375,393.6627943382175,385.53958980554575,392.9063869685233,212223,Consumer Durables,-0.005625605965741465,-0.0004183858185048406,-0.005400959743698586,-0.007450793495260566,395.5176635742188,0.0,0.0,0.0,0.0,0.0,0
2022-01-21,378.6661376953125,391.52515443835534,373.14106944685057,388.0719717283848,581674,Consumer Durables,-0.02778005873374556,-0.012304241927545312,-0.005430129366062464,-0.032158877289226284,390.9528869628906,395.19207458496095,0.0,0.0,0.0,0.0,0
2022-01-24,376.9230651855469,382.8099269015985,367.4843828743914,380.3762475158448,432834,Consumer Durables,-0.00460319087514538,-0.01983066228221797,-0.022259687373749726,-0.01515964613824139,386.5722717285156,393.73186950683595,0.0,0.0,0.0,0.0,0
2022-01-25,378.3372497558594,385.835594713205,368.96432608651753,373.60143867836473,241282,Consumer Durables,0.003751918364603979,-0.01781080938077728,0.007903838429937693,0.0040272274988948364,383.0204223632812,392.0578979492187,0.0,0.0,0.0,0.0,1
2022-01-27,374.6867065429688,381.3299753282535,373.6014146922196,378.3372254656633,72805,Consumer Durables,-0.00964891301410653,0.012676040017542967,-0.011677562792775986,0.012567850813345771,379.61984863281253,389.1868194580078,0.0,0.0,0.0,0.0,0
2022-01-28,375.1800537109375,379.0278796275193,371.62820282279966,371.6611123554639,154959,Consumer Durables,0.001316692477618231,-0.017645932413820398,-0.006037017411895107,-0.005281596353283291,376.758642578125,386.1381530761719,0.0,0.0,0.0,0.0,1
2022-01-31,372.9437255859375,378.8305878373129,368.50391932896207,376.8902200365824,165996,Consumer Durables,-0.005960679686673909,0.014069558281139871,-0.0005205205231876286,-0.00840701397285315,375.61416015625,383.2835235595703,388.666103108724,0.0,0.0,0.0,0
2022-02-01,367.9118957519531,379.52116154394736,363.2089944341256,379.52116154394736,510037,Consumer Durables,-0.013492195976963495,0.006980657410291968,0.0018229090490733402,-0.014368707134725822,373.8119262695312,380.1920989990234,387.0918884277344,0.0,0.0,0.0,0
2022-02-02,365.4125061035156,375.5747174209198,360.44650854195567,365.0507420995495,391141,Consumer Durables,-0.0067934461410363856,-0.03812809642953796,-0.010398482411291265,-0.00760577500695947,371.2269775390625,377.1236999511719,385.1142578125,0.0,0.0,0.0,0
2022-02-03,365.2480773925781,366.2675804408334,358.144375261011,363.6694735734117,188310,Consumer Durables,-0.0004499810712305097,-0.003783771314074147,-0.02478105300590716,-0.006386892996292359,369.33925170898436,374.47955017089845,382.5709635416667,0.0,0.0,0.0,0
2022-02-04,355.6449279785156,367.68171781945085,353.868987434882,366.36623976049566,346978,Consumer Durables,-0.026292128579066487,0.007415431822158647,0.0038609406186467243,-0.011937609861981446,365.4322265625,371.0954345703125,379.2361775716146,0.0,0.0,0.0,0
2022-02-07,351.4682006835937,359.1309729227673,349.36340577998186,358.14434937078164,115753,Consumer Durables,-0.011744093522329746,-0.02244172496649499,-0.02325583373411677,-0.012732343932030044,361.1371215820312,368.3756408691406,375.90138956705727,381.78385772705076,0.0,0.0,0
2022-02-08,341.1744079589844,354.3293985237869,338.90518586158856,353.0138904344984,327018,Consumer Durables,-0.029287977417553734,-0.014325114846281517,-0.013369981318801516,-0.029935075469751826,355.7896240234375,364.8007751464844,372.0579406738281,379.26632232666014,0.0,0.0,0
2022-02-09,335.5177917480469,344.3974035867249,334.13649470787493,341.6348396157419,259543,Consumer Durables,-0.01657983740567537,-0.03223400304376378,-0.02803040046476757,-0.014070871006562902,349.81068115234376,360.5188293457031,368.0193603515625,376.2883636474609,0.0,0.0,0
2022-02-10,334.8271484375,338.1816624957653,332.8210219089337,335.9453197902552,205572,Consumer Durables,-0.0020584402005885405,-0.016653804488693358,-0.01804816478354898,-0.0039369324206603995,343.72649536132815,356.5328735351562,364.22853190104166,372.859846496582,0.0,0.0,0
