Date,Close,High,Low,Open,Volume,Sector,return_ratio,pct_change_open,pct_change_high,pct_change_low,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30,up_or_down
2022-01-10,1081.575439453125,1101.533331175433,1071.8930053958811,1086.7131682856573,51017,Fast Moving Consumer Goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-11,1102.71875,1127.320241261954,1074.5604442366646,1074.9556726494357,170697,Fast Moving Consumer Goods,0.019548623032310752,-0.010819318270312017,0.023410013439179478,0.0024885308770143943,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-12,1105.6827392578125,1114.2785046264328,1097.7786537363816,1112.5000371414014,25976,Fast Moving Consumer Goods,0.002687892318701035,0.03492643040752608,-0.01156879488025675,0.021607169353986766,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-13,1094.7158203125,1114.4760336755414,1090.0722184148938,1106.5719483303249,31987,Fast Moving Consumer Goods,-0.009918685130848703,-0.005328618978125088,0.00017727080643537008,-0.00702002657389833,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-14,1087.1082763671875,1101.6319861481322,1076.8822686202084,1099.902967335792,28759,Fast Moving Consumer Goods,-0.0069493322414403425,-0.0060267034643300965,-0.011524740900034969,-0.012100069675993863,1094.360205078125,0.0,0.0,0.0,0.0,0.0,0
2022-01-17,1108.053955078125,1122.3801096466784,1087.1081773309477,1087.1081773309477,94311,Fast Moving Consumer Goods,0.019267334419467597,-0.011632653411087879,0.018833987901070603,0.009495846490110482,1099.655908203125,0.0,0.0,0.0,0.0,0.0,1
2022-01-18,1085.23095703125,1128.3081986372,1079.8956752280733,1102.6199209099084,37071,Fast Moving Consumer Goods,-0.020597370680623395,0.014268813262949598,0.005281712442665842,-0.006634576257702696,1096.158349609375,0.0,0.0,0.0,0.0,0.0,0
2022-01-19,1123.66455078125,1153.008418590064,1075.7460346701805,1078.907620480163,165883,Fast Moving Consumer Goods,0.035415128458129,-0.02150541630898295,0.02189137682656006,-0.003842630962492155,1099.7547119140625,0.0,0.0,0.0,0.0,0.0,1
2022-01-20,1093.4808349609375,1135.323063706622,1084.1441821506714,1128.110658008599,59494,Fast Moving Consumer Goods,-0.026861856413755048,0.045604495319570226,-0.015338443846809158,0.007806812397933571,1099.50771484375,0.0,0.0,0.0,0.0,0.0,0
2022-01-21,1067.3480224609375,1104.7442038604188,1056.8256842366254,1083.946530090268,54396,Fast Moving Consumer Goods,-0.023898738473028258,-0.039148755137454305,-0.026934060289737105,-0.025198214742851777,1095.5556640625,1094.9579345703125,0.0,0.0,0.0,0.0,0
2022-01-24,1011.377197265625,1076.4376790315846,1003.9671168684364,1067.3480286537444,50174,Fast Moving Consumer Goods,-0.05243915200804239,-0.01531302603564888,-0.025622695941666773,-0.05001635383830616,1076.2203125,1087.9381103515625,0.0,0.0,0.0,0.0,0
2022-01-25,1072.7821044921875,1086.7130317367532,1001.0524889366854,1011.377213179908,129228,Fast Moving Consumer Goods,0.060714150361089514,-0.05243914259572191,0.009545701442198462,-0.0029031109513250053,1073.7305419921875,1084.9444458007813,0.0,0.0,0.0,0.0,1
2022-01-27,1055.244873046875,1067.298555306118,1037.411231725456,1037.411231725456,31926,Fast Moving Consumer Goods,-0.016347431013135627,0.025741155927068382,-0.01786532034092525,0.03632051584766627,1060.0466064453126,1079.9006591796874,0.0,0.0,0.0,0.0,0
2022-01-28,1074.461669921875,1089.6770593000554,1062.111535784842,1065.07556797773,29708,Fast Moving Consumer Goods,0.018210746496700958,0.02666670208135491,0.020967426483134988,0.0238095591256553,1056.2427734375,1077.875244140625,0.0,0.0,0.0,0.0,1
2022-01-31,1075.5484619140625,1091.5048594043983,1062.30909394476,1068.2866071337462,33081,Fast Moving Consumer Goods,0.0010114758139920799,0.0030148463194146213,0.0016773777962408865,0.00018600509763966322,1057.882861328125,1076.7192626953124,1082.5995768229166,0.0,0.0,0.0,1
2022-02-01,1100.298095703125,1104.3983640637505,1070.3119962914957,1086.811726071879,55969,Fast Moving Consumer Goods,0.02301117491723037,0.017340963384195662,0.011812594830212353,0.007533496975929976,1075.667041015625,1075.9436767578125,1083.84775390625,0.0,0.0,0.0,1
2022-02-02,1103.0645751953125,1120.2559867033158,1091.751900128997,1101.6814566036528,63461,Fast Moving Consumer Goods,0.0025142999910579,0.013681974692634435,0.014358607505733367,0.020031452428626473,1081.72353515625,1077.7270385742188,1083.8708089192708,0.0,0.0,0.0,1
