Date,Stock,Predicted_Return,Rank
2025-03-31,SPARC,-0.23112842440605164,1
2025-03-31,INDIANB,-0.25504735112190247,2
2025-03-31,VINATIORGA,-0.22793355584144592,3
2025-03-31,LT,-0.2259194701910019,4
2025-03-31,ABFRL,-0.22327929735183716,5
2025-03-31,ZYDUSLIFE,-0.23035329580307007,6
2025-03-31,APOLLOTYRE,-0.23238995671272278,7
2025-03-31,STARHEALTH,-0.25425493717193604,8
2025-03-31,MGL,-0.22595596313476562,9
2025-03-31,KOTAKBANK,-0.25517362356185913,10
2025-03-31,GPPL,-0.225665882229805,11
2025-03-31,CGPOWER,-0.22932583093643188,12
2025-03-31,FINEORG,-0.22881658375263214,13
2025-03-31,BANDHANBNK,-0.25517144799232483,14
2025-03-31,HAPPSTMNDS,-0.2253001630306244,15
2025-03-31,KIRLOSBROS,-0.22933325171470642,16
2025-03-31,NTPC,-0.22547611594200134,17
2025-03-31,PETRONET,-0.2254643738269806,18
2025-03-31,INDUSTOWER,-0.22374416887760162,19
2025-03-31,ADANIGREEN,-0.22545328736305237,20
2025-03-31,HDFCLIFE,-0.25516074895858765,21
2025-03-31,MMTC,-0.22432087361812592,22
2025-03-31,SOBHA,-0.22555044293403625,23
2025-03-31,DABUR,-0.22599470615386963,24
2025-03-31,VARROC,-0.23198196291923523,25
2025-03-31,IRB,-0.2234160602092743,26
2025-03-31,KEI,-0.2286062389612198,27
2025-03-31,PIIND,-0.22881658375263214,28
2025-03-31,PERSISTENT,-0.22596897184848785,29
2025-03-31,RELIANCE,-0.22587719559669495,30
2025-03-31,SONATSOFTW,-0.2253083884716034,31
2025-03-31,QUESS,-0.22582855820655823,32
2025-03-31,JSWSTEEL,-0.22608305513858795,33
2025-03-31,HCLTECH,-0.2253328114748001,34
2025-03-31,PNBHOUSING,-0.2551705837249756,35
2025-03-31,IRFC,-0.2552429735660553,36
2025-03-31,PFC,-0.25515955686569214,37
2025-03-31,CDSL,-0.2549460232257843,38
2025-03-31,JKCEMENT,-0.23005980253219604,39
2025-03-31,TATAINVEST,-0.25517210364341736,40
2025-03-31,OBEROIRLTY,-0.22622187435626984,41
2025-03-31,SAPPHIRE,-0.22260373830795288,42
2025-03-31,TVSMOTOR,-0.23246921598911285,43
2025-03-31,POLYMED,-0.23032955825328827,44
2025-03-31,UNOMINDA,-0.2322162240743637,45
2025-03-31,VEDL,-0.22609220445156097,46
2025-03-31,USHAMART,-0.22953905165195465,47
2025-03-31,IEX,-0.25516554713249207,48
2025-03-31,POONAWALLA,-0.2552468180656433,49
2025-03-31,HSCL,-0.22809749841690063,50
2025-03-31,TRIDENT,-0.21593333780765533,51
2025-03-31,WELSPUNLIV,-0.2220301479101181,52
2025-03-31,TATACONSUM,-0.22569896280765533,53
2025-03-31,IFCI,-0.2528271973133087,54
2025-03-31,CARBORUNIV,-0.22949935495853424,55
2025-03-31,ICICIGI,-0.2551502287387848,56
2025-03-31,DBREALTY,-0.2258540689945221,57
2025-03-31,M&MFIN,-0.2549596130847931,58
2025-03-31,METROPOLIS,-0.23032933473587036,59
2025-03-31,LAURUSLABS,-0.23124471306800842,60
2025-03-31,CONCOR,-0.2257789522409439,61
2025-03-31,ROUTE,-0.22342410683631897,62
2025-03-31,BALAMINES,-0.22791729867458344,63
2025-03-31,MASTEK,-0.22530005872249603,64
2025-03-31,NYKAA,-0.22339454293251038,65
2025-03-31,MOTHERSON,-0.23228849470615387,66
2025-03-31,ASTRAZEN,-0.2311805933713913,67
2025-03-31,FLUOROCHEM,-0.22881658375263214,68
2025-03-31,HDFCBANK,-0.25517335534095764,69
2025-03-31,AARTIIND,-0.228002667427063,70
2025-03-31,GODREJCP,-0.22647574543952942,71
2025-03-31,DIXON,-0.22535783052444458,72
2025-03-31,SYNGENE,-0.23107808828353882,73
2025-03-31,BLUESTARCO,-0.22622811794281006,74
2025-03-31,UTIAMC,-0.2551734745502472,75
2025-03-31,SUZLON,-0.228352352976799,76
2025-03-31,VTL,-0.22220927476882935,77
2025-03-31,PAGEIND,-0.20058120787143707,78
2025-03-31,MAHABANK,-0.2535242736339569,79
2025-03-31,DLF,-0.22581857442855835,80
2025-03-31,DEEPAKNTR,-0.22811317443847656,81
2025-03-31,TANLA,-0.2256595343351364,82
2025-03-31,SAIL,-0.22589832544326782,83
2025-03-31,SCHNEIDER,-0.22943687438964844,84
2025-03-31,CASTROLIND,-0.2256983369588852,85
2025-03-31,GAIL,-0.22596922516822815,86
2025-03-31,CHOLAHLDNG,-0.25517362356185913,87
2025-03-31,TATAELXSI,-0.22530005872249603,88
2025-03-31,JWL,-0.22947008907794952,89
2025-03-31,AUBANK,-0.25500574707984924,90
2025-03-31,JSWENERGY,-0.23218071460723877,91
2025-03-31,IOC,-0.22611965239048004,92
2025-03-31,JUBLPHARMA,-0.2303294539451599,93
2025-03-31,TRITURBINE,-0.2291383147239685,94
2025-03-31,VIJAYA,-0.23042742908000946,95
2025-03-31,RAJESHEXPO,-0.22612358629703522,96
2025-03-31,NESTLEIND,-0.22568151354789734,97
2025-03-31,IDFCFIRSTB,-0.2539328634738922,98
2025-03-31,GILLETTE,-0.21957595646381378,99
2025-03-31,KSB,-0.22992613911628723,100
2025-03-31,HAL,-0.2294740378856659,101
2025-03-31,DALBHARAT,-0.23003730177879333,102
2025-03-31,ELECON,-0.22936540842056274,103
2025-03-31,JMFINANCIL,-0.2546575367450714,104
2025-03-31,RVNL,-0.2256002575159073,105
2025-03-31,SUNDARMFIN,-0.25421759486198425,106
2025-03-31,SIEMENS,-0.2294740378856659,107
2025-03-31,GSFC,-0.22840702533721924,108
2025-03-31,TECHM,-0.22530005872249603,109
2025-03-31,KPRMILL,-0.22247382998466492,110
2025-03-31,BLS,-0.22351935505867004,111
2025-03-31,GODFRYPHLP,-0.2264758050441742,112
2025-03-31,MINDACORP,-0.23229777812957764,113
2025-03-31,LTIM,-0.22530005872249603,114
2025-03-31,FEDERALBNK,-0.25516435503959656,115
2025-03-31,J&KBANK,-0.2548882067203522,116
2025-03-31,INDUSINDBK,-0.25421759486198425,117
2025-03-31,APARINDS,-0.22860625386238098,118
2025-03-31,NCC,-0.2259640097618103,119
2025-03-31,CAPLIPOINT,-0.23117507994174957,120
2025-03-31,EQUITASBNK,-0.25435855984687805,121
2025-03-31,ATGL,-0.22537705302238464,122
2025-03-31,NEWGEN,-0.22557508945465088,123
2025-03-31,ACE,-0.22947117686271667,124
2025-03-31,BATAINDIA,-0.22535783052444458,125
2025-03-31,SAMMAANCAP,-0.25479578971862793,126
2025-03-31,JPPOWER,-0.2102048546075821,127
2025-03-31,BAJAJ-AUTO,-0.23175963759422302,128
2025-03-31,KAJARIACER,-0.2253897488117218,129
2025-03-31,KALYANKJIL,-0.22577904164791107,130
2025-03-31,HEROMOTOCO,-0.23175963759422302,131
2025-03-31,RKFORGE,-0.2324729710817337,132
2025-03-31,COFORGE,-0.22616960108280182,133
2025-03-31,SONACOMS,-0.23176458477973938,134
2025-03-31,PCBL,-0.22881120443344116,135
2025-03-31,LATENTVIEW,-0.22532549500465393,136
2025-03-31,RAMCOCEM,-0.22976025938987732,137
2025-03-31,IIFL,-0.2550187110900879,138
2025-03-31,TITAGARH,-0.2294730246067047,139
2025-03-31,KIRLOSENG,-0.22997841238975525,140
2025-03-31,JKTYRE,-0.232130229473114,141
2025-03-31,JUBLFOOD,-0.22331364452838898,142
2025-03-31,JINDALSTEL,-0.2254660278558731,143
2025-03-31,ONGC,-0.22578032314777374,144
