Date,Stock,Predicted_Return,Rank
2025-01-30,JUSTDIAL,-0.2069610059261322,1
2025-01-30,BALKRISIND,-0.2101546674966812,2
2025-01-30,IOB,-0.20878970623016357,3
2025-01-30,TTML,-0.2069610208272934,4
2025-01-30,ABFRL,-0.2069610208272934,5
2025-01-30,IOC,-0.2069610059261322,6
2025-01-30,GRINFRA,-0.2069610208272934,7
2025-01-30,IPCALAB,-0.2103336602449417,8
2025-01-30,SHYAMMETL,-0.21185164153575897,9
2025-01-30,TRITURBINE,-0.21185164153575897,10
2025-01-30,ELECON,-0.21185164153575897,11
2025-01-30,DATAPATTNS,-0.21185164153575897,12
2025-01-30,STARHEALTH,-0.20878970623016357,13
2025-01-30,DEEPAKNTR,-0.20640558004379272,14
2025-01-30,DMART,-0.2069610208272934,15
2025-01-30,TRENT,-0.2069610208272934,16
2025-01-30,PRAJIND,-0.21185162663459778,17
2025-01-30,POWERINDIA,-0.21185164153575897,18
2025-01-30,AUROPHARMA,-0.2103336602449417,19
2025-01-30,ALKEM,-0.2103336602449417,20
2025-01-30,SAPPHIRE,-0.2069610059261322,21
2025-01-30,SIEMENS,-0.21185164153575897,22
2025-01-30,ISEC,-0.20878970623016357,23
2025-01-30,GLAXO,-0.2103336602449417,24
2025-01-30,JBMA,-0.2101546674966812,25
2025-01-30,TCS,-0.2069610059261322,26
2025-01-30,YESBANK,-0.20878970623016357,27
2025-01-30,POONAWALLA,-0.20878970623016357,28
2025-01-30,POLYMED,-0.2103336602449417,29
2025-01-30,NIACL,-0.20878970623016357,30
2025-01-30,JPPOWER,-0.2069610059261322,31
2025-01-30,NH,-0.2103336602449417,32
2025-01-30,TATAMOTORS,-0.2101546674966812,33
2025-01-30,SAREGAMA,-0.2069610059261322,34
2025-01-30,POLYCAB,-0.21185164153575897,35
2025-01-30,UBL,-0.20871396362781525,36
2025-01-30,ZOMATO,-0.2069610059261322,37
2025-01-30,ELGIEQUIP,-0.21185164153575897,38
2025-01-30,ANANTRAJ,-0.2069610208272934,39
2025-01-30,JBCHEPHARM,-0.21033364534378052,40
2025-01-30,POLICYBZR,-0.20878970623016357,41
2025-01-30,HINDUNILVR,-0.20871394872665405,42
2025-01-30,INDUSTOWER,-0.2069610208272934,43
2025-01-30,NAVINFLUOR,-0.20640558004379272,44
2025-01-30,INFY,-0.2069610059261322,45
2025-01-30,AIAENG,-0.21185164153575897,46
2025-01-30,JINDALSAW,-0.21185162663459778,47
2025-01-30,ANGELONE,-0.20878970623016357,48
2025-01-30,NUVOCO,-0.21079076826572418,49
2025-01-30,HDFCBANK,-0.20878970623016357,50
2025-01-30,JWL,-0.21185164153575897,51
2025-01-30,LTTS,-0.2069610059261322,52
2025-01-30,LUPIN,-0.2103336602449417,53
2025-01-30,APLLTD,-0.2103336602449417,54
2025-01-30,SCHNEIDER,-0.21185164153575897,55
2025-01-30,ABBOTINDIA,-0.1711364984512329,56
2025-01-30,HEROMOTOCO,-0.2101546674966812,57
2025-01-30,WELSPUNLIV,-0.20344771444797516,58
2025-01-30,ZENSARTECH,-0.2069610059261322,59
2025-01-30,VTL,-0.20344771444797516,60
2025-01-30,SCHAEFFLER,-0.2101546674966812,61
2025-01-30,OIL,-0.2069610059261322,62
2025-01-30,FACT,-0.20640558004379272,63
2025-01-30,VIPIND,-0.21075260639190674,64
2025-01-30,PNBHOUSING,-0.20878970623016357,65
2025-01-30,SHREECEM,-0.11184230446815491,66
2025-01-30,GMDCLTD,-0.2069610059261322,67
2025-01-30,AARTIIND,-0.20640558004379272,68
2025-01-30,SAIL,-0.2069610059261322,69
2025-01-30,AFFLE,-0.2069610059261322,70
2025-01-30,EIDPARRY,-0.20640558004379272,71
2025-01-30,IFCI,-0.20878970623016357,72
2025-01-30,KANSAINER,-0.21075260639190674,73
2025-01-30,DEEPAKFERT,-0.20640558004379272,74
2025-01-30,KIRLOSENG,-0.21185162663459778,75
2025-01-30,KNRCON,-0.2069610208272934,76
2025-01-30,KOTAKBANK,-0.20878970623016357,77
2025-01-30,PNB,-0.20878970623016357,78
2025-01-30,ZEEL,-0.2069610059261322,79
2025-01-30,ECLERX,-0.21135106682777405,80
2025-01-30,HDFCLIFE,-0.20878970623016357,81
2025-01-30,KPRMILL,-0.20344771444797516,82
2025-01-30,NYKAA,-0.2069610208272934,83
2025-01-30,LATENTVIEW,-0.2069610059261322,84
2025-01-30,RTNINDIA,-0.2069610208272934,85
2025-01-30,ACE,-0.21185164153575897,86
2025-01-30,DRREDDY,-0.2103336602449417,87
2025-01-30,LINDEINDIA,-0.20640558004379272,88
2025-01-30,UPL,-0.20640558004379272,89
2025-01-30,GVT&D,-0.17541536688804626,90
2025-01-30,BANDHANBNK,-0.20878970623016357,91
2025-01-30,BALRAMCHIN,-0.20871394872665405,92
2025-01-30,DEVYANI,-0.2069610208272934,93
2025-01-30,LICHSGFIN,-0.20878970623016357,94
2025-01-30,LALPATHLAB,-0.2103336602449417,95
2025-01-30,NAM-INDIA,-0.20878970623016357,96
2025-01-30,PRESTIGE,-0.2069610059261322,97
2025-01-30,AUBANK,-0.20878970623016357,98
2025-01-30,DALBHARAT,-0.21079076826572418,99
2025-01-30,UNIONBANK,-0.20878970623016357,100
2025-01-30,ENDURANCE,-0.2101546674966812,101
2025-01-30,HINDPETRO,-0.2069610059261322,102
2025-01-30,SUPREMEIND,-0.21185164153575897,103
2025-01-30,AXISBANK,-0.20878970623016357,104
2025-01-30,MPHASIS,-0.2069610059261322,105
2025-01-30,MAHABANK,-0.20878970623016357,106
2025-01-30,M&M,-0.2101546674966812,107
2025-01-30,RKFORGE,-0.2101546674966812,108
2025-01-30,INOXWIND,-0.21185164153575897,109
2025-01-30,VGUARD,-0.21075260639190674,110
2025-01-30,CUB,-0.20878970623016357,111
2025-01-30,HUDCO,-0.20878970623016357,112
2025-01-30,SKFINDIA,-0.21185164153575897,113
2025-01-30,TIINDIA,-0.2101546674966812,114
2025-01-30,GSFC,-0.20640558004379272,115
2025-01-30,ASTRAZEN,-0.21465301513671875,116
2025-01-30,AVANTIFEED,-0.20871394872665405,117
2025-01-30,GRASIM,-0.21079076826572418,118
2025-01-30,PGHH,-0.18224681913852692,119
2025-01-30,RHIM,-0.21185164153575897,120
2025-01-30,GPPL,-0.21135106682777405,121
2025-01-30,GODREJPROP,-0.2069610208272934,122
2025-01-30,PETRONET,-0.2069610059261322,123
2025-01-30,HCLTECH,-0.2069610059261322,124
2025-01-30,SUNDARMFIN,-0.20878970623016357,125
2025-01-30,NATCOPHARM,-0.2103336602449417,126
2025-01-30,ASTERDM,-0.2103336602449417,127
2025-01-30,GPIL,-0.21185164153575897,128
2025-01-30,TECHNOE,-0.2069610208272934,129
2025-01-30,THERMAX,-0.21185164153575897,130
2025-01-30,HINDALCO,-0.2069610059261322,131
2025-01-30,MOTHERSON,-0.2101546674966812,132
2025-01-30,GRANULES,-0.2103336602449417,133
