Date,Stock,Predicted_Return,Rank
2025-01-23,WELSPUNLIV,-0.20318537950515747,1
2025-01-23,PRESTIGE,-0.2068425714969635,2
2025-01-23,TIINDIA,-0.20980986952781677,3
2025-01-23,JKCEMENT,-0.20941738784313202,4
2025-01-23,ACE,-0.2112107276916504,5
2025-01-23,TEJASNET,-0.2068425714969635,6
2025-01-23,FINEORG,-0.21242576837539673,7
2025-01-23,TIMKEN,-0.21121074259281158,8
2025-01-23,GODREJAGRO,-0.2098681628704071,9
2025-01-23,JKTYRE,-0.20980986952781677,10
2025-01-23,GILLETTE,-0.17927441000938416,11
2025-01-23,GICRE,-0.21363693475723267,12
2025-01-23,IRB,-0.2068425714969635,13
2025-01-23,GESHIP,-0.21114039421081543,14
2025-01-23,GAIL,-0.2068425714969635,15
2025-01-23,JMFINANCIL,-0.21363691985607147,16
2025-01-23,MOTHERSON,-0.20980986952781677,17
2025-01-23,MUTHOOTFIN,-0.21363691985607147,18
2025-01-23,ONGC,-0.2068425714969635,19
2025-01-23,ALKYLAMINE,-0.21159571409225464,20
2025-01-23,RTNINDIA,-0.2068425714969635,21
2025-01-23,GMRAIRPORT,-0.21114039421081543,22
2025-01-23,TATAINVEST,-0.19113758206367493,23
2025-01-23,FEDERALBNK,-0.21363693475723267,24
2025-01-23,TITAGARH,-0.21121074259281158,25
2025-01-23,ZOMATO,-0.2068425714969635,26
2025-01-23,JKLAKSHMI,-0.20941737294197083,27
2025-01-23,MRPL,-0.2068425714969635,28
2025-01-23,MCX,-0.21363691985607147,29
2025-01-23,GUJGASLTD,-0.2068425714969635,30
2025-01-23,TANLA,-0.2068425714969635,31
2025-01-23,GSFC,-0.21159571409225464,32
2025-01-23,JSWENERGY,-0.2068425714969635,33
2025-01-23,RELIANCE,-0.2068425714969635,34
2025-01-23,MRF,-0.18595421314239502,35
2025-01-23,JSL,-0.2068425714969635,36
2025-01-23,ANGELONE,-0.21363693475723267,37
2025-01-23,GAEL,-0.2098681628704071,38
2025-01-23,ZYDUSLIFE,-0.21154344081878662,39
2025-01-23,TORNTPHARM,-0.21154344081878662,40
2025-01-23,MPHASIS,-0.2068425714969635,41
2025-01-23,IEX,-0.21363693475723267,42
2025-01-23,TECHNOE,-0.2068425714969635,43
2025-01-23,HEROMOTOCO,-0.20980986952781677,44
2025-01-23,THERMAX,-0.21121074259281158,45
2025-01-23,ABSLAMC,-0.21363693475723267,46
2025-01-23,SJVN,-0.2068425714969635,47
2025-01-23,PAGEIND,-0.17583875358104706,48
2025-01-23,HINDUNILVR,-0.2098681628704071,49
2025-01-23,INDHOTEL,-0.2068425714969635,50
2025-01-23,TCS,-0.2068425714969635,51
2025-01-23,TECHM,-0.2068425714969635,52
2025-01-23,TATASTEEL,-0.2068425714969635,53
2025-01-23,ADANIPORTS,-0.21114039421081543,54
2025-01-23,RATNAMANI,-0.21121074259281158,55
2025-01-23,ADANIENT,-0.2068425714969635,56
2025-01-23,ICICIBANK,-0.21363693475723267,57
2025-01-23,KPITTECH,-0.2068425714969635,58
2025-01-23,KIRLOSENG,-0.21121074259281158,59
2025-01-23,KOTAKBANK,-0.21363691985607147,60
2025-01-23,RAMCOCEM,-0.20941737294197083,61
2025-01-23,GRINDWELL,-0.2112107276916504,62
2025-01-23,DEEPAKNTR,-0.21159571409225464,63
2025-01-23,JYOTHYLAB,-0.2098681628704071,64
2025-01-23,MGL,-0.2068425714969635,65
2025-01-23,GNFC,-0.21159571409225464,66
2025-01-23,DEVYANI,-0.2068425714969635,67
2025-01-23,360ONE,-0.21363693475723267,68
2025-01-23,RKFORGE,-0.20980986952781677,69
2025-01-23,ADANIPOWER,-0.2068425714969635,70
2025-01-23,DEEPAKFERT,-0.21159571409225464,71
2025-01-23,IFCI,-0.21363691985607147,72
2025-01-23,VARROC,-0.20980986952781677,73
2025-01-23,DLF,-0.2068425714969635,74
2025-01-23,TRENT,-0.2068425714969635,75
2025-01-23,VGUARD,-0.21347245573997498,76
2025-01-23,VIJAYA,-0.21154344081878662,77
2025-01-23,MAXHEALTH,-0.21154344081878662,78
2025-01-23,LEMONTREE,-0.2068425714969635,79
2025-01-23,DMART,-0.2068425714969635,80
2025-01-23,INTELLECT,-0.2068425714969635,81
2025-01-23,VINATIORGA,-0.21159571409225464,82
