K,Instance_Ir,Precision,MRR,IRR
5,0,0.0,0.0,0.0
10,0,0.0,0.0,0.0
20,0,0.05,0.1,0.0
5,1,0.0,0.0,0.0
10,1,0.0,0.0,0.0
20,1,0.05,0.09090909090909091,0.0
5,2,0.0,0.0,0.0
10,2,0.0,0.0,0.0
20,2,0.05,0.08333333333333333,0.0
5,3,0.0,0.0,0.0
10,3,0.0,0.0,0.0
20,3,0.1,0.07177033492822966,0.0
5,4,0.0,0.0,0.0
10,4,0.0,0.0,0.0
20,4,0.05,0.1111111111111111,0.0
5,5,0.0,0.0,0.0
10,5,0.0,0.0,0.0
20,5,0.05,0.07692307692307693,0.0
5,6,0.0,0.0,0.0
10,6,0.0,0.0,0.0
20,6,0.05,0.08333333333333333,0.0
5,7,0.0,0.0,0.0
10,7,0.0,0.0,0.0
20,7,0.05,0.06666666666666667,0.0
5,8,0.0,0.0,0.0
10,8,0.0,0.0,0.0
20,8,0.05,0.06666666666666667,0.0
5,9,0.0,0.0,0.0
10,9,0.0,0.0,0.0
20,9,0.05,0.07692307692307693,0.0
5,10,0.0,0.0,0.0
10,10,0.0,0.0,0.0
20,10,0.05,0.1,0.0
5,11,0.0,0.0,0.0
10,11,0.0,0.0,0.0
20,11,0.05,0.07692307692307693,0.0
5,12,0.0,0.0,0.0
10,12,0.0,0.0,0.0
20,12,0.05,0.1111111111111111,0.0
5,13,0.0,0.0,0.0
10,13,0.0,0.0,0.0
20,13,0.05,0.07692307692307693,0.0
5,14,0.0,0.0,0.0
10,14,0.0,0.0,0.0
20,14,0.05,0.09090909090909091,0.0
5,15,0.0,0.0,0.0
10,15,0.0,0.0,0.0
20,15,0.05,0.07142857142857142,0.0
5,16,0.0,0.0,0.0
10,16,0.0,0.0,0.0
20,16,0.05,0.07692307692307693,0.0
5,17,0.0,0.0,0.0
10,17,0.0,0.0,0.0
20,17,0.05,0.07142857142857142,0.0
5,18,0.0,0.0,0.0
10,18,0.0,0.0,0.0
20,18,0.05,0.07142857142857142,0.0
5,19,0.0,0.0,0.0
10,19,0.0,0.0,0.0
20,19,0.05,0.07142857142857142,0.0
5,20,0.0,0.0,0.0
10,20,0.0,0.0,0.0
20,20,0.05,0.06666666666666667,0.0
5,21,0.0,0.0,0.0
10,21,0.0,0.0,0.0
20,21,0.05,0.0625,0.0
5,22,0.0,0.0,0.0
10,22,0.0,0.0,0.0
20,22,0.05,0.06666666666666667,0.0
5,23,0.0,0.0,0.0
10,23,0.0,0.0,0.0
20,23,0.05,0.06666666666666667,0.0
5,24,0.0,0.0,0.0
10,24,0.0,0.0,0.0
20,24,0.05,0.06666666666666667,0.0
5,25,0.0,0.0,0.0
10,25,0.0,0.0,0.0
20,25,0.05,0.07692307692307693,0.0
5,26,0.0,0.0,0.0
10,26,0.0,0.0,0.0
20,26,0.05,0.1,0.0
5,27,0.0,0.0,0.0
10,27,0.0,0.0,0.0
20,27,0.05,0.09090909090909091,0.0
5,28,0.0,0.0,0.0
10,28,0.0,0.0,0.0
20,28,0.05,0.1,0.0
5,29,0.0,0.0,0.0
10,29,0.0,0.0,0.0
20,29,0.05,0.1,0.0
5,30,0.0,0.0,0.0
10,30,0.0,0.0,0.0
20,30,0.05,0.08333333333333333,0.0
5,31,0.0,0.0,0.0
10,31,0.0,0.0,0.0
20,31,0.1,0.06666666666666667,0.0
5,32,0.0,0.0,0.0
10,32,0.0,0.0,0.0
20,32,0.05,0.09090909090909091,0.0
5,33,1.0,0.45666666666666667,0.0
10,33,1.0,0.29289682539682543,0.0
20,33,1.0,0.1798869828571841,0.0
5,34,1.0,0.45666666666666667,0.0
10,34,1.0,0.29289682539682543,0.0
20,34,1.0,0.1798869828571841,0.0
5,35,1.0,0.45666666666666667,0.0
10,35,1.0,0.29289682539682543,0.0
20,35,1.0,0.1798869828571841,0.0
5,36,1.0,0.45666666666666667,0.0
10,36,1.0,0.29289682539682543,0.0
20,36,1.0,0.1798869828571841,0.0
5,37,1.0,0.45666666666666667,0.0
10,37,1.0,0.29289682539682543,0.0
20,37,1.0,0.1798869828571841,0.0
5,38,0.0,0.0,0.0
10,38,0.0,0.0,0.0
20,38,0.05,0.09090909090909091,0.0
5,39,0.0,0.0,0.0
10,39,0.0,0.0,0.0
20,39,0.1,0.07177033492822966,0.0
5,40,0.0,0.0,0.0
10,40,0.0,0.0,0.0
20,40,0.1,0.07177033492822966,0.0
5,41,0.0,0.0,0.0
10,41,0.0,0.0,0.0
20,41,0.05,0.09090909090909091,0.0
5,42,0.0,0.0,0.0
10,42,0.0,0.0,0.0
20,42,0.05,0.09090909090909091,0.0
5,43,0.0,0.0,0.0
10,43,0.0,0.0,0.0
20,43,0.1,0.08055555555555555,0.0
5,44,0.0,0.0,0.0
10,44,0.0,0.0,0.0
20,44,0.05,0.09090909090909091,0.0
5,45,1.0,0.45666666666666667,0.0
10,45,1.0,0.29289682539682543,0.0
20,45,1.0,0.1798869828571841,0.0
5,46,1.0,0.45666666666666667,0.0
10,46,1.0,0.29289682539682543,0.0
20,46,1.0,0.1798869828571841,0.0
5,47,1.0,0.45666666666666667,0.0
10,47,1.0,0.29289682539682543,0.0
20,47,1.0,0.1798869828571841,0.0
5,48,1.0,0.45666666666666667,0.0
10,48,1.0,0.29289682539682543,0.0
20,48,1.0,0.1798869828571841,0.0
