K,Instance_Ir,Precision,MRR,IRR
5,49,1.0,0.45666666666666667,0.0
10,49,1.0,0.29289682539682543,0.0
20,49,1.0,0.1798869828571841,0.0
5,50,0.0,0.0,0.0
10,50,0.0,0.0,0.0
20,50,0.05,0.125,0.0
5,51,0.0,0.0,0.0
10,51,0.0,0.0,0.0
20,51,0.1,0.08496732026143791,0.0
5,52,0.0,0.0,0.0
10,52,0.0,0.0,0.0
20,52,0.05,0.1111111111111111,0.0
5,53,0.0,0.0,0.0
10,53,0.0,0.0,0.0
20,53,0.05,0.125,0.0
5,54,0.0,0.0,0.0
10,54,0.0,0.0,0.0
20,54,0.05,0.1,0.0
5,55,0.0,0.0,0.0
10,55,0.0,0.0,0.0
20,55,0.05,0.07692307692307693,0.0
5,56,1.0,0.45666666666666667,0.0
10,56,1.0,0.29289682539682543,0.0
20,56,1.0,0.1798869828571841,0.0
5,57,1.0,0.45666666666666667,0.0
10,57,1.0,0.29289682539682543,0.0
20,57,1.0,0.1798869828571841,0.0
5,58,1.0,0.45666666666666667,0.0
10,58,1.0,0.29289682539682543,0.0
20,58,1.0,0.1798869828571841,0.0
5,59,1.0,0.45666666666666667,0.0
10,59,1.0,0.29289682539682543,0.0
20,59,1.0,0.1798869828571841,0.0
5,60,1.0,0.45666666666666667,0.0
10,60,1.0,0.29289682539682543,0.0
20,60,1.0,0.1798869828571841,0.0
5,61,0.0,0.0,0.0
10,61,0.0,0.0,0.0
20,61,0.05,0.06666666666666667,0.0
5,62,0.0,0.0,0.0
10,62,0.0,0.0,0.0
20,62,0.05,0.07142857142857142,0.0
